date,peak_players,smoothed_peak_players
2018-09-01,583029,504844.71428571426
2018-10-01,565968,489625.5714285714
2018-11-01,546031,492878.28571428574
2018-12-01,746548,534602.1428571428
2019-01-01,684511,572352.1428571428
2019-02-01,654069,604932.2857142857
2019-03-01,680071,637175.2857142857
2019-04-01,621614,642687.4285714285
2019-05-01,588453,645899.5714285715
2019-06-01,587724,651855.7142857143
2019-07-01,578933,627910.7142857143
2019-08-01,647461,622617.8571428572
2019-09-01,720052,632044.0
2019-10-01,747937,641739.1428571428
2019-11-01,758412,661281.7142857143
2019-12-01,767060,686797.0
2020-01-01,817229,719583.4285714285
2020-02-01,916996,767878.1428571428
2020-03-01,1145972,839094.0
2020-04-01,1305714,922760.0
2020-05-01,1193359,986391.7142857143
2020-06-01,1009467,1022256.7142857143
2020-07-01,857560,1035185.2857142857
2020-08-01,925348,1050630.857142857
2020-09-01,977769,1059312.7142857143
2020-10-01,943876,1030441.8571428572
2020-11-01,1037464,992120.4285714285
2020-12-01,1164396,987982.8571428572
2021-01-01,1124553,1004423.7142857143
2021-02-01,1123485,1042413.0
2021-03-01,1198581,1081446.2857142857
2021-04-01,1148077,1105776.0
2021-05-01,1087197,1126250.4285714286
2021-06-01,929940,1110889.857142857
2021-07-01,763523,1053622.2857142857
2021-08-01,802544,1007621.0
2021-09-01,942519,981768.7142857143
2021-10-01,864966,934109.4285714285
2021-11-01,935593,903754.5714285715
2021-12-01,950586,884238.7142857143
2022-01-01,991625,893050.8571428572
2022-02-01,995163,926142.2857142857
2022-03-01,987993,952635.0
2022-04-01,1013237,962737.5714285715
2022-05-01,923996,971170.4285714285
2022-06-01,906670,967038.5714285715
2022-07-01,928329,963859.0
2022-08-01,1039889,970753.8571428572
2022-09-01,1100366,985782.8571428572
2022-10-01,1078860,998763.8571428572
2022-11-01,1129095,1015315.0
2022-12-01,1065079,1035469.7142857143
2023-01-01,1199684,1077328.857142857
2023-02-01,1354248,1138174.4285714286
2023-03-01,1519457,1206684.142857143
2023-04-01,1510231,1265236.2857142857
