date,real_price,predicted_price
2024-12-01,13.19,15.602226
2024-12-02,13.659,15.003504
2024-12-03,13.6612,14.670886
2024-12-04,13.6634,14.252375
2024-12-05,13.6656,14.125971
2024-12-06,13.6678,13.555368
2024-12-07,13.67,12.857413
2024-12-08,13.605,13.144703
2024-12-09,13.54,12.647771
2024-12-10,13.475,11.996117
2024-12-11,13.41,11.5099125
2024-12-12,13.9,11.423735
2024-12-13,12.27,11.28915
