ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-12-14,235.7962041735392,214.7615824154797,259.1329328913643,235.7962041735392,235.7962041735392,0.46398872582553097,0.46398872582553097,0.46398872582553097,0.46398872582553097,0.46398872582553097,0.46398872582553097,0.0,0.0,0.0,236.26019289936474
2024-12-15,235.76865329865456,212.68059071808585,257.3113445454928,235.76865329865456,235.76865329865456,0.24372779966712665,0.24372779966712665,0.24372779966712665,0.24372779966712665,0.24372779966712665,0.24372779966712665,0.0,0.0,0.0,236.01238109832167
2024-12-16,235.74110242376995,213.34364921930657,257.89911450209866,235.74110242376995,235.74110242376995,-0.08366562145189899,-0.08366562145189899,-0.08366562145189899,-0.08366562145189899,-0.08366562145189899,-0.08366562145189899,0.0,0.0,0.0,235.65743680231805
2024-12-17,235.71355154888533,214.3795530947546,260.0555986557312,235.71355154888533,235.71355154888533,-0.5107570849061428,-0.5107570849061428,-0.5107570849061428,-0.5107570849061428,-0.5107570849061428,-0.5107570849061428,0.0,0.0,0.0,235.2027944639792
2024-12-18,235.6860006740007,212.41120029234838,258.9684552095021,235.6860006740007,235.6860006740007,-1.0278878445247008,-1.0278878445247008,-1.0278878445247008,-1.0278878445247008,-1.0278878445247008,-1.0278878445247008,0.0,0.0,0.0,234.65811282947598
2024-12-19,235.65844979911608,211.0728110013563,258.09659679869105,235.65844979911608,235.65844979911608,-1.6233766118702073,-1.6233766118702073,-1.6233766118702073,-1.6233766118702073,-1.6233766118702073,-1.6233766118702073,0.0,0.0,0.0,234.03507318724587
2024-12-20,235.63089892423147,208.9817050651936,256.15940507120223,235.63089892423147,235.63089892423147,-2.2837717144364365,-2.2837717144364365,-2.2837717144364365,-2.2837717144364365,-2.2837717144364365,-2.2837717144364365,0.0,0.0,0.0,233.34712720979505
2024-12-21,235.60334804934683,208.71363883808195,254.15607334575475,235.60334804934683,235.60334804934683,-2.994148167076873,-2.994148167076873,-2.994148167076873,-2.994148167076873,-2.994148167076873,-2.994148167076873,0.0,0.0,0.0,232.60919988226996
2024-12-22,235.57579717446222,207.70001474997585,254.82421190061584,235.57579717446222,235.57579717446222,-3.738442952694091,-3.738442952694091,-3.738442952694091,-3.738442952694091,-3.738442952694091,-3.738442952694091,0.0,0.0,0.0,231.83735422176812
2024-12-23,235.54824629957758,208.48807158665113,254.89223211815585,235.54824629957758,235.54824629957758,-4.499820753659602,-4.499820753659602,-4.499820753659602,-4.499820753659602,-4.499820753659602,-4.499820753659602,0.0,0.0,0.0,231.04842554591798
2024-12-24,235.52069542469297,205.7350624581632,252.20774485422638,235.52069542469297,235.52069542469297,-5.26106150659364,-5.26106150659364,-5.26106150659364,-5.26106150659364,-5.26106150659364,-5.26106150659364,0.0,0.0,0.0,230.25963391809933
