ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2024-12-14,79.06708371793476,49.08859484890901,92.38690675830144,79.06708371793476,79.06708371793476,-7.653385051591203,-7.653385051591203,-7.653385051591203,-7.653385051591203,-7.653385051591203,-7.653385051591203,0.0,0.0,0.0,71.41369866634356
2024-12-15,79.11674354828182,49.99063512256594,93.1999896433268,79.11674354828182,79.11674354828182,-7.975102032655139,-7.975102032655139,-7.975102032655139,-7.975102032655139,-7.975102032655139,-7.975102032655139,0.0,0.0,0.0,71.14164151562667
2024-12-16,79.16640337862887,46.720345468857325,93.60200183333097,79.16640337862887,79.16640337862887,-8.370076377120013,-8.370076377120013,-8.370076377120013,-8.370076377120013,-8.370076377120013,-8.370076377120013,0.0,0.0,0.0,70.79632700150886
2024-12-17,79.21606320897591,50.14370157717133,91.8831991660851,79.21606320897591,79.21606320897591,-8.837380144045088,-8.837380144045088,-8.837380144045088,-8.837380144045088,-8.837380144045088,-8.837380144045088,0.0,0.0,0.0,70.37868306493083
2024-12-18,79.26572303932299,49.132424267037536,91.10152164798016,79.26572303932299,79.26572303932299,-9.374161385733718,-9.374161385733718,-9.374161385733718,-9.374161385733718,-9.374161385733718,-9.374161385733718,0.0,0.0,0.0,69.89156165358928
2024-12-19,79.31538286967005,48.30708379787462,91.14837825062199,79.31538286967005,79.31538286967005,-9.975583628575585,-9.975583628575585,-9.975583628575585,-9.975583628575585,-9.975583628575585,-9.975583628575585,0.0,0.0,0.0,69.33979924109445
2024-12-20,79.36504270001709,46.995234587441445,88.99452553512232,79.36504270001709,79.36504270001709,-10.634814290656122,-10.634814290656122,-10.634814290656122,-10.634814290656122,-10.634814290656122,-10.634814290656122,0.0,0.0,0.0,68.73022840936096
2024-12-21,79.41470253036414,45.87304027048643,89.08662500256426,79.41470253036414,79.41470253036414,-11.343065647613466,-11.343065647613466,-11.343065647613466,-11.343065647613466,-11.343065647613466,-11.343065647613466,0.0,0.0,0.0,68.07163688275067
2024-12-22,79.46436236071118,47.5008947544289,88.5736977279491,79.46436236071118,79.46436236071118,-12.089690643773155,-12.089690643773155,-12.089690643773155,-12.089690643773155,-12.089690643773155,-12.089690643773155,0.0,0.0,0.0,67.37467171693802
2024-12-23,79.51402219105823,45.757099162223966,87.89734187292113,79.51402219105823,79.52737422063224,-12.86233439533833,-12.86233439533833,-12.86233439533833,-12.86233439533833,-12.86233439533833,-12.86233439533833,0.0,0.0,0.0,66.65168779571991
2024-12-24,79.56368202140527,44.54192752257519,87.74785655874341,79.5548045147068,79.60763250942527,-13.647140683785821,-13.647140683785821,-13.647140683785821,-13.647140683785821,-13.647140683785821,-13.647140683785821,0.0,0.0,0.0,65.91654133761945
2024-12-25,79.61334185175232,43.96526550595303,84.86918311198365,79.57537886033624,79.67751736564678,-14.429011132747535,-14.429011132747535,-14.429011132747535,-14.429011132747535,-14.429011132747535,-14.429011132747535,0.0,0.0,0.0,65.18433071900479
2024-12-26,79.66300168209939,42.86647521767705,86.14013938788854,79.55083515053174,79.77279038845963,-15.19191314535525,-15.19191314535525,-15.19191314535525,-15.19191314535525,-15.19191314535525,-15.19191314535525,0.0,0.0,0.0,64.47108853674415
2024-12-27,79.71266151244643,42.10596091317804,84.22392592003018,79.53694628594162,79.85266036630999,-15.919231098570696,-15.919231098570696,-15.919231098570696,-15.919231098570696,-15.919231098570696,-15.919231098570696,0.0,0.0,0.0,63.79343041387573
2024-12-28,79.76232134279348,40.830058453576385,83.6855345114245,79.52399190123073,79.94177917142126,-16.594153794035634,-16.594153794035634,-16.594153794035634,-16.594153794035634,-16.594153794035634,-16.594153794035634,0.0,0.0,0.0,63.16816754875785
2024-12-29,79.81198117314052,41.9881761143556,85.36362113517418,79.47066558889784,80.07588558016617,-17.200089798149467,-17.200089798149467,-17.200089798149467,-17.200089798149467,-17.200089798149467,-17.200089798149467,0.0,0.0,0.0,62.61189137499106
2024-12-30,79.86164100348759,40.17496514530296,84.41158853282735,79.46679258584734,80.16521755220896,-17.721101112323275,-17.721101112323275,-17.721101112323275,-17.721101112323275,-17.721101112323275,-17.721101112323275,0.0,0.0,0.0,62.140539891164316
2024-12-31,79.91130083383464,40.26730580159486,82.03434612724823,79.46078064636197,80.33851055363824,-18.14234463852461,-18.14234463852461,-18.14234463852461,-18.14234463852461,-18.14234463852461,-18.14234463852461,0.0,0.0,0.0,61.76895619531004
2025-01-01,79.96096066418168,40.79132041001231,84.38078296937738,79.4008822918236,80.52861583640409,-18.450510181866285,-18.450510181866285,-18.450510181866285,-18.450510181866285,-18.450510181866285,-18.450510181866285,0.0,0.0,0.0,61.5104504823154
2025-01-02,80.01062049452874,40.08022566770724,83.51962845199093,79.36786251510588,80.73250860380746,-18.63424329083064,-18.63424329083064,-18.63424329083064,-18.63424329083064,-18.63424329083064,-18.63424329083064,0.0,0.0,0.0,61.3763772036981
2025-01-03,80.06028032487578,40.111074367016954,83.9944967917581,79.31746033021277,80.88123721712869,-18.684541100163504,-18.684541100163504,-18.684541100163504,-18.684541100163504,-18.684541100163504,-18.684541100163504,0.0,0.0,0.0,61.37573922471228
2025-01-04,80.10994015522283,40.37409724668096,83.09422906424392,79.25306524798272,81.01481857035022,-18.595109526434324,-18.595109526434324,-18.595109526434324,-18.595109526434324,-18.595109526434324,-18.595109526434324,0.0,0.0,0.0,61.5148306287885
2025-01-05,80.15959998556987,39.18777534459958,83.5604672471646,79.15546150145967,81.20762853210101,-18.362670678126946,-18.362670678126946,-18.362670678126946,-18.362670678126946,-18.362670678126946,-18.362670678126946,0.0,0.0,0.0,61.79692930744292
2025-01-06,80.20925981591694,39.041816043154,83.19395957387835,79.10015335561549,81.37196493529709,-17.987210178240755,-17.987210178240755,-17.987210178240755,-17.987210178240755,-17.987210178240755,-17.987210178240755,0.0,0.0,0.0,62.22204963767618
2025-01-07,80.25891964626399,42.81149208795834,85.28590009166773,79.0778026596586,81.47667412131038,-17.472155246021515,-17.472155246021515,-17.472155246021515,-17.472155246021515,-17.472155246021515,-17.472155246021515,0.0,0.0,0.0,62.786764400242475
2025-01-08,80.30857947661103,42.24599038797743,86.77032128201513,79.05021311655904,81.64083829474767,-16.824475824360807,-16.824475824360807,-16.824475824360807,-16.824475824360807,-16.824475824360807,-16.824475824360807,0.0,0.0,0.0,63.484103652250226
2025-01-09,80.35823930695808,43.45532874249176,85.62393536883737,78.99099758263554,81.79430473788426,-16.05470274096072,-16.05470274096072,-16.05470274096072,-16.05470274096072,-16.05470274096072,-16.05470274096072,0.0,0.0,0.0,64.30353656599736
2025-01-10,80.40789913730514,43.394400558336685,87.09654605248046,78.89299348201328,82.0017453773765,-15.17685881652715,-15.17685881652715,-15.17685881652715,-15.17685881652715,-15.17685881652715,-15.17685881652715,0.0,0.0,0.0,65.23104032077799
2025-01-11,80.45755896765219,45.03067557223566,88.0332819012029,78.8204678188016,82.20605699069823,-14.208300936704742,-14.208300936704742,-14.208300936704742,-14.208300936704742,-14.208300936704742,-14.208300936704742,0.0,0.0,0.0,66.24925803094744
2025-01-12,80.50721879799923,44.935679962050315,87.8437712671237,78.67976590347331,82.35874807612882,-13.16947333467387,-13.16947333467387,-13.16947333467387,-13.16947333467387,-13.16947333467387,-13.16947333467387,0.0,0.0,0.0,67.33774546332536
