date,real_price,predicted_price
2024-12-01,13.19,17.201366731891223
2024-12-02,13.659,16.94513188915457
2024-12-03,13.6612,16.75274761105215
2024-12-04,13.6634,16.574127170397897
2024-12-05,13.6656,16.41179888795406
2024-12-06,13.6678,16.26288330104985
2024-12-07,13.67,16.125312248944457
2024-12-08,13.605,15.997380252732093
2024-12-09,13.54,15.873049996086172
2024-12-10,13.475,15.752916291970694
2024-12-11,13.41,15.636390035806174
2024-12-12,13.9,15.522982647936802
2024-12-13,12.27,15.452026545319777
