date,real_price,predicted_price
2024-12-01,256.926,257.0101685254193
2024-12-02,256.926,256.9887465165118
2024-12-03,256.926,256.9727767536514
2024-12-04,256.926,256.9608715204711
2024-12-05,256.926,256.95199632927347
2024-12-06,256.926,256.94537998188406
2024-12-07,256.926,256.9404475738727
2024-12-08,256.926,256.9367705198943
2024-12-09,256.926,256.9340293167951
2024-12-10,256.926,256.9319857802232
2024-12-11,256.926,256.9304623444633
2024-12-12,256.926,256.92932663897466
2024-12-13,256.926,256.92847998126416
