date,real_price,predicted_price
2024-12-01,75.1255,77.33844595977453
2024-12-02,73.84700000000001,76.0604928759587
2024-12-03,72.5685,74.7820174517948
2024-12-04,71.29,73.50339170680549
2024-12-05,71.29,72.22472320356326
2024-12-06,71.29,71.55935639586846
2024-12-07,71.29,71.36762005773087
2024-12-08,71.29,71.31236858603178
2024-12-09,71.29,71.29644628996009
2024-12-10,71.29,71.29185773344243
2024-12-11,71.29,71.29053537525272
2024-12-12,71.29,71.29015428920839
2024-12-13,71.29,71.29004446443666
