date,real_price,predicted_price
2024-12-01,21.998,22.583518950775744
2024-12-02,21.9215,22.440471842664557
2024-12-03,21.845,22.313672839641146
2024-12-04,21.8325,22.198821139489265
2024-12-05,21.82,22.11322831933746
2024-12-06,22.1136,22.04452044556074
2024-12-07,22.4072,22.085851398259788
2024-12-08,22.7008,22.185359594530475
2024-12-09,22.9944,22.329635804596734
2024-12-10,23.288,22.508388393873123
2024-12-11,23.288,22.71374805931257
2024-12-12,23.288,22.846346728260016
2024-12-13,23.288,22.94840133442437
